yyyymm,Index,D12,E12,b/m,tbl,AAA,BAA,lty,ntis,Rfree,infl,ltr,corpr,svar,csp,CRSP_SPvw,CRSP_SPvwx
200207,911.62,15.959,27.84,0.2820321945,0.0168,0.0653,0.079,0.0544,0.0284410263,0.0015,0.0011117287,0.0303,0.0094,0.0153427907,-0.0024205352,-0.073987,-0.075074
200208,916.07,15.879,28.94,0.284411556,0.0162,0.0637,0.0758,0.051,0.0247476984,0.0014,0.0033314825,0.0464,0.0452,0.0094092909,-0.0029084989,0.007061,0.005401
200209,815.29,15.799,30.04,0.3245551555,0.0163,0.0615,0.074,0.048,0.029299296,0.0014,0.0016602103,0.0417,0.033,0.0073661128,-0.0032126151,-0.108965,-0.110421
200210,885.76,15.8907,29.2233,0.2934370638,0.0158,0.0632,0.0773,0.0508,0.025670932,0.0014,0.0016574586,-0.0294,-0.024,0.0115896355,-0.0037533659,0.088599,0.087103
200211,936.31,15.9823,28.4067,0.2769754993,0.0123,0.0631,0.0762,0.0521,0.0229075973,0.0012,0.0,-0.0122,0.013,0.0044490751,-0.0041663869,0.059019,0.057288
200212,879.82,16.074,27.59,0.2953858956,0.0119,0.0621,0.0745,0.0484,0.0257359814,0.0011,-0.0022062879,0.0507,0.0361,0.002639538,-0.0041443054,-0.058834,-0.060464
200301,855.7,16.124,28.5,0.3059423072,0.0117,0.0617,0.0735,0.0495,0.0282889555,0.001,0.0044223328,-0.0106,0.0021,0.0051675744,,-0.026579,-0.02786
200302,841.15,16.174,29.41,0.3122513206,0.0117,0.0595,0.0706,0.0472,0.0279187105,0.0009,0.0077050083,0.0329,0.0264,0.0025641197,,-0.015246,-0.017225
200303,848.18,16.224,30.32,0.2861177008,0.0113,0.0589,0.0695,0.0486,0.0240985953,0.001,0.0060076461,-0.0135,-0.008,0.0061361179,,0.010308,0.008967
200304,916.92,16.2043,31.73,0.2696540306,0.0113,0.0574,0.0685,0.0481,0.0199668846,0.001,-0.0021715527,0.0102,0.0229,0.0030648098,,0.082774,0.081462
200305,963.59,16.1847,33.14,0.2583755061,0.0107,0.0522,0.0638,0.0436,0.0064481102,0.0009,-0.0016322089,0.0592,0.0471,0.0022283195,,0.053251,0.051508
200306,974.51,16.165,34.55,0.2544883373,0.0092,0.0497,0.0619,0.0452,0.0012618836,0.001,0.0010899183,-0.0154,-0.0143,0.0019977007,,0.012816,0.011351
200307,990.31,16.3053,35.8933,0.2476433348,0.009,0.0549,0.0662,0.0542,0.0002715813,0.0007,0.0010887316,-0.0982,-0.0881,0.0020460156,,0.017932,0.016505
200308,1008.01,16.4457,37.2367,0.2428560733,0.0095,0.0588,0.0701,0.0532,0.0029170177,0.0007,0.0038064165,0.0166,0.0219,0.0009660564,,0.019597,0.018014
200309,995.97,16.586,38.58,0.2465417826,0.0094,0.0572,0.0679,0.049,0.0073234015,0.0008,0.0032502709,0.0546,0.0503,0.0018690885,,-0.010737,-0.012107
200310,1050.71,16.8523,41.9667,0.2333089667,0.0092,0.057,0.0673,0.0518,0.0072114259,0.0007,-0.0010799136,-0.0283,-0.0203,0.0014076127,,0.05556,0.05397
200311,1058.2,17.1187,45.3533,0.2337541521,0.0093,0.0565,0.0666,0.0519,0.0100007887,0.0007,-0.0027027027,-0.0027,0.0052,0.0009196631,,0.009259,0.007606
200312,1111.92,17.385,48.74,0.2187398648,0.009,0.0562,0.066,0.0511,0.0069463157,0.0008,-0.0010840108,0.0139,0.0139,0.0008937,,0.05178,0.050107
200401,1131.13,17.598,49.8267,0.218027721,0.0088,0.0554,0.0644,0.0499,0.0068865017,0.0007,0.0048833424,0.0187,0.0187,0.0009787934,,0.019078,0.017991
200402,1144.94,17.811,50.9133,0.2160532204,0.0093,0.055,0.0627,0.0483,0.0093613224,0.0006,0.005399568,0.023,0.0178,0.0006107509,,0.014403,0.012716
200403,1126.21,18.024,52.0,0.2817314655,0.0094,0.0533,0.0611,0.0474,0.0122820384,0.0009,0.0064446831,0.0141,0.0118,0.0019812495,,-0.014982,-0.016267
200404,1107.3,18.2167,53.3833,0.2853718668,0.0094,0.0573,0.0646,0.0531,0.0137662795,0.0008,0.0032017076,-0.0588,-0.0534,0.0012309377,,-0.015584,-0.016719
200405,1120.68,18.4093,54.7667,0.2864115739,0.0102,0.0604,0.0675,0.0539,0.0163300833,0.0006,0.0058510638,-0.0051,-0.0071,0.0009776153,,0.013629,0.012024
200406,1140.84,18.602,56.15,0.279631603,0.0127,0.0601,0.0678,0.0532,0.0144914269,0.0008,0.0031729244,0.0121,0.0093,0.0007707704,,0.019488,0.018019
200407,1101.72,18.789,56.69,0.2877883095,0.0133,0.0582,0.0662,0.0523,0.0147206707,0.001,-0.0015814444,0.0155,0.0184,0.0007770943,,-0.032954,-0.034111
