date,dp,ep,bm,ntis,tbl,tms,dfy,svar
1996-03-01,-3.823566765191128,-2.9424889065815236,0.2392996154,0.0168919131,0.0496,0.018800000000000004,0.0068000000000000005,0.0017417161
1996-04-01,-3.832924982035051,-2.9473476490472725,0.2400758062,0.0211219538,0.0495,0.021099999999999994,0.006900000000000003,0.0009818376
1996-05-01,-3.8515460863075535,-2.9615318664922055,0.2369235155,0.0264191545,0.0502,0.0215,0.0068000000000000005,0.0011252912
1996-06-01,-3.8498479284411316,-2.955444247971818,0.2364437252,0.0272161737,0.0509,0.0194,0.006900000000000003,0.0003948038
1996-07-01,-3.7939327013078485,-2.898263744495316,0.2418198938,0.0311368642,0.0515,0.019200000000000002,0.007000000000000006,0.0023551484
1996-08-01,-3.8035591336592987,-2.9066532186626635,0.2380611179,0.0308861056,0.0505,0.022099999999999995,0.007199999999999998,0.0011215207
1996-09-01,-3.847389917171492,-2.9492664892527856,0.2272973181,0.0295807368,0.0509,0.019500000000000003,0.006900000000000003,0.000686243
1996-10-01,-3.8678597956376524,-2.9500981911761337,0.2217476558,0.0256558088,0.0499,0.017200000000000007,0.0068000000000000005,0.000606645
1996-11-01,-3.9333648209469425,-2.996551609937393,0.2050079191,0.0220673413,0.0503,0.013999999999999999,0.006900000000000003,0.0007037354
1996-12-01,-3.906355589926097,-2.951035193004638,0.2073427297,0.0241256867,0.0491,0.0182,0.006900000000000003,0.0017090846
1997-01-01,-3.9622951998967353,-2.997634458074083,0.1962401029,0.0244069327,0.0503,0.018600000000000005,0.006699999999999998,0.0013600822
1997-02-01,-3.964640252900873,-2.990795187904119,0.1943954108,0.0229109266,0.0501,0.019300000000000005,0.0063,0.0014747914
1997-03-01,-3.917545942245285,-2.934660235558484,0.2147802023,0.0211485434,0.0514,0.020900000000000002,0.0063,0.0020014615
1997-04-01,-3.9720542662426452,-2.9888599925793025,0.2017410478,0.0169452901,0.0516,0.018899999999999993,0.006100000000000008,0.003005081
1997-05-01,-4.0267295433908,-3.043225711994618,0.1928785879,0.0132644502,0.0505,0.019599999999999992,0.006199999999999997,0.0020074558
1997-06-01,-4.067019483487831,-3.0832100440258534,0.184287615,0.010846707,0.0493,0.019500000000000003,0.006099999999999994,0.0019744632
1997-07-01,-4.13846895742606,-3.1576922740855884,0.171964943,0.0115926587,0.0505,0.013200000000000003,0.006099999999999994,0.0020102151
1997-08-01,-4.0755423704506875,-3.0977913592740496,0.1855054038,0.012877263,0.0514,0.015799999999999995,0.006000000000000005,0.0024647217
1997-09-01,-4.12358735156845,-3.148841916752475,0.177967857,0.0146342661,0.0495,0.015399999999999997,0.005500000000000005,0.0026264943
1997-10-01,-4.084940189478857,-3.1213312479859088,0.1900006773,0.0162628256,0.0497,0.0126,0.005699999999999997,0.0093638214
